harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
1400000000,Bantul,129,132,6,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
650000000,Sleman,140,111,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1250000000,Sleman,70,105,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
750000000,Sleman,65,110,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
799000000,Sleman,52,99,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2500000000,Sleman,280,150,4,4,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
435000000,Sleman,36,76,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
389000000,Sleman,36,75,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1975000000,Sleman,165,135,4,3,2200,Tak Berperabot,3,SHM - Sertifikat Hak Milik
1900000000,Sleman,180,130,4,4,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
975000000,Sleman,80,121,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
350000000,Bantul,46,82,2,1,900,Tak Berperabot,1,SHM - Sertifikat Hak Milik
335000000,Bantul,45,100,1,1,900,Tak Berperabot,1,SHM - Sertifikat Hak Milik
415000000,Bantul,45,88,2,1,900,Tak Berperabot,1,SHM - Sertifikat Hak Milik
290000000,Bantul,45,75,2,1,900,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2600000000,Sleman,200,171,4,2,2200,Tak Berperabot,3,SHM - Sertifikat Hak Milik
1150000000,Sleman,160,112,4,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
435000000,Sleman,36,76,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2600000000,Sleman,250,193,4,3,2200,Tak Berperabot,3,SHM - Sertifikat Hak Milik
200000000,Sleman,36,77,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
389000000,Sleman,36,75,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
789500000,Sleman,45,93,2,1,1300,Tak Berperabot,1,SHGB - Hak Guna Bangunan
485000900,Sleman,60,90,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2300000000,Sleman,137,145,3,3,3500,Tak Berperabot,1,SHM - Sertifikat Hak Milik
890000000,Bantul,70,85,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
408000000,Bantul,45,93,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
420000190,Bantul,60,86,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1450000000,Sleman,90,105,3,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
395003900,Bantul,55,78,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
420009880,Bantul,60,83,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
435000000,Bantul,60,83,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
3691000000,Sleman,120,180,3,2,2200,Tak Berperabot,2,SHGB - Hak Guna Bangunan
1800000000,Sleman,180,205,7,3,1300,Sebagian,2,SHM - Sertifikat Hak Milik
695000000,Sleman,72,90,2,1,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1500000000,Yogyakarta,200,115,6,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
625000000,Bantul,50,98,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1600000000,Yogyakarta,80,143,3,2,1300,Sebagian,1,SHM - Sertifikat Hak Milik
1700000000,Yogyakarta,280,150,8,8,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1800000000,Sleman,250,200,10,10,3500,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1691000000,Sleman,164,115,6,4,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
300000000,Sleman,36,90,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1450000000,Sleman,90,105,3,3,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1750000000,Sleman,130,160,4,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2900000000,Sleman,115,140,4,4,2200,Tak Berperabot,2,SHGB - Hak Guna Bangunan
1590000000,Sleman,112,93,4,3,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1600000000,Sleman,90,152,4,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1325000000,Sleman,130,124,4,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
702250000,Sleman,50,112,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1975000000,Sleman,165,135,4,2,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1875000000,Sleman,112,119,3,2,2200,Lengkap,1,SHM - Sertifikat Hak Milik
5200000000,Sleman,255,231,6,5,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
800000000,Sleman,100,90,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1400000000,Sleman,140,214,4,3,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
295000000,Sleman,36,75,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
450000000,Bantul,45,74,2,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
300000000,Sleman,36,80,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1750000000,Sleman,210,149,5,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
830000000000,Sleman,70,104,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
285000000,Sleman,36,60,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
485000000,Sleman,42,108,2,1,2200,Tak Berperabot,1,SHGB - Hak Guna Bangunan
435000000,Bantul,60,75,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
482700000,Bantul,36,111,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
4500000000,Yogyakarta,540,418,10,8,4400,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2500000000,Yogyakarta,300,140,5,6,5500,Sebagian,2,SHM - Sertifikat Hak Milik
770000000,Sleman,80,104,3,2,2200,Lengkap,1,SHM - Sertifikat Hak Milik
2525000000,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
185000777,Kulon Progo,30,61,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
3700000000,Sleman,440,383,4,4,4400,Lengkap,2,SHM - Sertifikat Hak Milik
2525000000,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
798000000,Yogyakarta,50,115,3,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
