web-scraper-order,web-scraper-start-url,title,title-href,nama,harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
1686137516-795,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/61,,https://www.rumah.com/listing-properti/dijual-tamanan-banguntapan-bantul-yogyakarta-oleh-priyo-kurniawan-18263847,Tamanan Banguntapan Bantul Yogyakarta,Rp 889 jt,"Kragilan Tamanan, Banguntapan, Bantul, DI Yogyakarta Jelajahi di Peta",70 m²,98 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137519-796,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/61,,https://www.rumah.com/listing-properti/dijual-wedomartani-ngemplak-sleman-yogyakarta-oleh-priyo-kurniawan-21307816,Wedomartani Ngemplak Sleman Yogyakarta,"Rp 1,3 M","Karanganyar Wedomartani Ngemplak, Ngemplak, Sleman, DI Yogyakarta Jelajahi di Peta",135 m²,125 m²,3 tidur,3 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686137522-797,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/61,,https://www.rumah.com/listing-properti/dijual-duwet-sendangadi-mlati-sleman-yogyakarta-oleh-agung-prasetyo-wibowo-20616726,Duwet Sendangadi Mlati Sleman Yogyakarta,Rp 4 M,"Jalan Kabupaten, Mlati, Sleman, DI Yogyakarta Jelajahi di Peta",159 m²,205 m²,5 tidur,5 mandi,3500 Watt,Tak Berperabot,2,SHGB - Hak Guna Bangunan
1686137526-798,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/61,,https://www.rumah.com/listing-properti/dijual-sidoarum-godean-sleman-yogyakarta-oleh-feri-kurniawan-21724891,Sidoarum Godean Sleman Yogyakarta,Rp 765 jt,"Jalan Raya Godean km 7 Sleman, Godean, Sleman, DI Yogyakarta Jelajahi di Peta",100 m²,130 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686137530-799,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/61,,https://www.rumah.com/listing-properti/dijual-rumah-cluster-deresan-kampus-ugm-dijual-jogja-di-depok-sleman-yogyakarta-oleh-ahmad-gesit-21388665,Rumah Cluster Deresan Kampus UGM Dijual Jogja di Depok Sleman Yogyakarta,Rp 3 M,"Depok, Sleman, DI Yogyakarta Jelajahi di Peta",380 m²,208 m²,4 tidur,3 mandi,2200 Watt,,1,SHM - Sertifikat Hak Milik
1686137534-800,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/61,,https://www.rumah.com/listing-properti/dijual-giwangan-umbulharjo-kota-yogyakarta-oleh-sunaryadi-21392122,Giwangan Umbulharjo Kota Yogyakarta,"Rp 2,1 M","Kemendungan Kota Yogyakarta, Umbulharjo, Yogyakarta, DI Yogyakarta Jelajahi di Peta",190 m²,133 m²,4 tidur,3 mandi,2200 Watt,Lengkap,1,SHM - Sertifikat Hak Milik
1686137541-801,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-purwomartani-kalasan-sleman-yogyakarta-oleh-wiedi-21283807,Purwomartani Kalasan Sleman Yogyakarta,Rp 585 jt,"Sanggrahan Purwomartani Kalasan, Kalasan, Sleman, DI Yogyakarta Jelajahi di Peta",55 m²,95 m²,2 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137546-802,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-kios-kontrakan-dan-kosan-di-glagahsari-yogyakarta-oleh-ina-karlina-20664091,"Dijual Rumah, Kios, Kontrakan dan Kosan di Glagahsari, Yogyakarta","Rp 8,1 M","Umbulharjo, Umbulharjo, Yogyakarta, DI Yogyakarta Jelajahi di Peta",545 m²,545 m²,10 tidur,9 mandi,7700 Watt,Sebagian,2,SHM - Sertifikat Hak Milik
1686137549-803,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-kolam-renang-dalam-perumahan-oleh-tri-indarto-18072736,Rumah Kolam Renang Dalam perumahan,Rp 7 M,"Jalan Gito Gati, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",325 m²,400 m²,5 tidur,4 mandi,2200 Watt,Lengkap,2,SHM - Sertifikat Hak Milik
1686137553-804,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-dekat-ugm-kaliurang-km-6-oleh-tri-indarto-19378510,Rumah Dekat UGM Kaliurang Km 6,"Rp 1,15 M","Jalan Kaliurang km 6, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",120 m²,134 m²,3 tidur,2 mandi,3500 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686137556-805,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-baru-maguwo-unit-terakhir-oleh-tri-indarto-20724958,Rumah Baru Maguwo Unit Terakhir,"Rp 1,2 M","Jalan Tajem, Ngemplak, Sleman, DI Yogyakarta Jelajahi di Peta",115 m²,100 m²,3 tidur,3 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686137559-806,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-dekat-umy-kasihan-bantul-oleh-tri-indarto-20992150,Rumah Dekat UMY Kasihan Bantul,Rp 700 jt,"Tirtonirmolo, Kasihan, Bantul, DI Yogyakarta Jelajahi di Peta",110 m²,137 m²,3 tidur,2 mandi,5500 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137562-807,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-baru-wirokerten-oleh-tri-indarto-20443547,Rumah Baru Wirokerten,Rp 750 jt,"Jalan Wirokerten, Banguntapan, Bantul, DI Yogyakarta Jelajahi di Peta",100 m²,102 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137567-808,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-baru-maguwoharjo-oleh-tri-indarto-19945811,Rumah Baru Maguwoharjo,"Rp 1,95 M","Jalan Maguwo, Depok, Sleman, DI Yogyakarta Jelajahi di Peta",190 m²,130 m²,4 tidur,4 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137570-809,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-dalam-perumahan-baru-jogja-oleh-tri-indarto-21240695,Rumah Dalam Perumahan Baru Jogja,"Rp 1,404 M","Jalan Imogiri, Sewon, Bantul, DI Yogyakarta Jelajahi di Peta",90 m²,120 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137573-810,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-jual-rumah-dekat-kampus-ugm-kaliurang-km-6-mlati-oleh-tri-indarto-21232839,Jual Rumah Dekat Kampus UGM Kaliurang km 6 Mlati,"Rp 1,6 M","Jalan Kaliurang km 6, Mlati, Sleman, DI Yogyakarta Jelajahi di Peta",120 m²,151 m²,3 tidur,4 mandi,2200 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686137577-811,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-dalam-kota-view-taman-kodya-oleh-tri-indarto-21232954,Rumah Dalam Kota View Taman Kodya,"Rp 1,3 M","Jalan Gambiran, Umbulharjo, Yogyakarta, DI Yogyakarta Jelajahi di Peta",150 m²,110 m²,3 tidur,1 mandi,1300 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686137580-812,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-tanah-bonus-joglo-palagan-oleh-tri-indarto-21180814,Tanah bonus Joglo Palagan,"Rp 2,7 M","Jalan Palagan km 7, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",250 m²,408 m²,1 tidur,2 mandi,1300 Watt,Sebagian,3,SHM - Sertifikat Hak Milik
1686137585-813,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-dalam-kota-jogja-mantrijeron-oleh-tri-indarto-21215521,Rumah Dijual Dalam Kota Jogja Mantrijeron,"Rp 2,2 M","Jalan Suryodiningratan, Mantrijeron, Yogyakarta, DI Yogyakarta Jelajahi di Peta",150 m²,232 m²,4 tidur,3 mandi,3500 Watt,Lengkap,1,SHM - Sertifikat Hak Milik
1686137588-814,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-baru-dekat-maguwo-luas-180-m-oleh-tri-indarto-21232900,Rumah Baru Dekat Maguwo Luas 180 m²,"Rp 1,18 M","Utara Jogja Bay, Depok, Sleman, DI Yogyakarta Jelajahi di Peta",100 m²,177 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686137591-815,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-jalan-godean-view-sawah-oleh-tri-indarto-21233009,Rumah Dijual Jalan Godean View Sawah,"Rp 1,2 M","Jalan Godean km 8, Gamping, Sleman, DI Yogyakarta Jelajahi di Peta",92 m²,152 m²,4 tidur,2 mandi,1300 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686137595-816,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-kost-seturan-perumnas-18-kamar-oleh-tri-indarto-21233110,Rumah Kost Seturan Perumnas 18 Kamar,"Rp 1,75 M","Jalan Perumnas, Depok, Sleman, DI Yogyakarta Jelajahi di Peta",250 m²,337 m²,10 tidur,7 mandi,2200 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137599-817,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-dalam-kota-jogja-oleh-tri-indarto-14410655,Rumah dalam Kota jogja,"Rp 3,5 M","Taman siswa, Umbulharjo, Yogyakarta, DI Yogyakarta Jelajahi di Peta",440 m²,271 m²,5 tidur,3 mandi,2200 Watt,Sebagian,2,SHM - Sertifikat Hak Milik
1686137602-818,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-mewah-dijual-palagan-oleh-tri-indarto-18688676,Rumah Mewah dijual Palagan,"Rp 4,2 M","Jalan Palagan km 10, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",280 m²,240 m²,4 tidur,3 mandi,2200 Watt,Sebagian,2,SHM - Sertifikat Hak Milik
1686137605-819,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-hanya-300-jt-an-dijual-cepat-rumah-dekat-umy-jogja-oleh-salva-21417795,Hanya 300 jt-an: Dijual Cepat Rumah Dekat UMY Jogja,Rp 398 jt,"Termurah. Kraton, Kec. Kasihan, Bantul, Jogja., Gamping, Sleman, DI Yogyakarta Jelajahi di Peta",84 m²,45 m²,2 tidur,1 mandi,900 Watt,Lengkap,2,SHM - Sertifikat Hak Milik
1686137608-820,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/60,,https://www.rumah.com/listing-properti/dijual-rumah-hook-dekat-ringroad-barat-strategis-bisa-nego-oleh-opink-noviani-21597342,Rumah Hook Dekat Ringroad Barat;Strategis Bisa Nego,Rp 990 jt,"Jambon, Salakan, Trihanggo, Gamping, Sleman, DI Yogyakarta Jelajahi di Peta",1 m²,142 m²,3 tidur,2 mandi,1300 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686137617-821,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-jogja-strategis-shm-harga-termurah-bantul-oleh-opink-noviani-21597076,"Rumah Jogja Strategis SHM, Harga Termurah Bantul",Rp 625 jt,"Brajan, Tamantirto, Kasihan, Kasihan, Bantul, DI Yogyakarta Jelajahi di Peta",1 m²,112 m²,2 tidur,1 mandi,900 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137621-822,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-cantik-dijual-dalam-perumahan-2-menit-underpass-kentungan-oleh-opink-noviani-21591174,"Rumah Cantik Dijual Dalam Perumahan, 2 menit Underpass Kentungan",Rp 875 jt,"Jl Kaliurang km 7, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",56 m²,98 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137625-823,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-dekat-ugm-dan-ske-rumah-dijual-murah-shm-oleh-opink-noviani-21580272,"Dekat UGM dan SKE, Rumah Dijual Murah, SHM","Rp 1,2 M","Jl Banteng Raya, Sinduharjo, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",200 m²,234 m²,6 tidur,3 mandi,1300 Watt,Tak Berperabot,3,SHM - Sertifikat Hak Milik
1686137629-824,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-bangunan-kokoh-dekat-pasar-gamping-oleh-opink-noviani-21579338,"Rumah Dijual Bangunan Kokoh, Dekat Pasar Gamping",Rp 685 jt,"Gamping, Tamantirto, Kasihan, Bantul, DI Yogyakarta Jelajahi di Peta",80 m²,119 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137632-825,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-murah-lokasi-berbah-jogja-sejuk-dan-asri-oleh-opink-noviani-21578380,"Rumah Murah Lokasi Berbah Jogja,Sejuk dan Asri",Rp 375 jt,"Berbah Sleman, Berbah, Sleman, DI Yogyakarta Jelajahi di Peta",84 m²,146 m²,3 tidur,1 mandi,900 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137636-826,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-nego-rumah-dijual-dekat-kampus-isi-jogja-oleh-opink-noviani-21578238,NEGO!Rumah Dijual Dekat Kampus ISI Jogja,Rp 525 jt,"Jl Bantul km 7, Sewon, Bantul, DI Yogyakarta Jelajahi di Peta",72 m²,131 m²,2 tidur,1 mandi,900 Watt,Sebagian,2,SHM - Sertifikat Hak Milik
1686137639-827,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-murah-di-ringroad-timur-oleh-opink-noviani-21570394,"Rumah Dijual Murah, di Ringroad Timur","Rp 1,2 M","Plumbon, Banguntapan, Bantul, DI Yogyakarta Jelajahi di Peta",200 m²,200 m²,3 tidur,3 mandi,1300 Watt,Tak Berperabot,3,SHM - Sertifikat Hak Milik
1686137642-828,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-di-sleman-dekat-perempatan-munggur-godean-oleh-opink-noviani-21490121,"Rumah 2 Lantai di Sleman, Dekat Perempatan Munggur Godean",Rp 990 jt,"Sidomoyo, Kec. Godean, Kabupaten Sleman, Godean, Sleman, DI Yogyakarta Jelajahi di Peta",163 m²,137 m²,4 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137647-829,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-murah-harga-spesial-3-menit-jogja-bay-oleh-opink-noviani-21580389,"Rumah Dijual Murah Harga Spesial, 3 menit Jogja Bay",Rp 675 jt,"Malangrejo, Wedomartani, Depok, Sleman, DI Yogyakarta Jelajahi di Peta",90 m²,114 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137650-830,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-mewah-jogja-dekat-ringroad-timur-oleh-opink-noviani-21603283,"Rumah Mewah Jogja, Dekat Ringroad Timur","Rp 1,2 M","Banguntapan, Plumbon, Banguntapan, Banguntapan, Bantul, DI Yogyakarta Jelajahi di Peta",1 m²,200 m²,3 tidur,3 mandi,1300 Watt,Tak Berperabot,3,SHM - Sertifikat Hak Milik
1686137653-831,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-cantik-di-jogja-utara-harga-termurah-dekat-pusat-bisnis-dan-jalan-raya-oleh-opink-noviani-21639371,"Rumah Cantik Di Jogja Utara, Harga Termurah Dekat Pusat Bisnis dan Jalan Raya",Rp 875 jt,"Jl Tiara Pratama, Depok, Sleman, DI Yogyakarta Jelajahi di Peta",56 m²,98 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137656-832,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-dijual-dekat-masjid-suciati-jl-gito-gati-jogja-oleh-opink-noviani-21639582,Rumah 2 Lantai Dijual Dekat Masjid Suciati Jl Gito-Gati Jogja,"Rp 1,15 M","Jl gito gati, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",180 m²,119 m²,5 tidur,3 mandi,1300 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686137660-833,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-di-nogotirto-depan-kampus-unisa-yogyakarta-oleh-opink-noviani-21420246,"Rumah Siap Huni di Nogotirto, Depan Kampus UNISA Yogyakarta","Rp 1,2 M","Nogotirto, Kec. Gamping, Kabupaten Sleman, Gamping, Sleman, DI Yogyakarta Jelajahi di Peta",100 m²,140 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686137663-834,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-cantik-utara-ringroad-dekat-pasar-colombo-jogja-oleh-opink-noviani-21688518,Dijual Cepat Rumah Cantik Utara Ringroad;Dekat Pasar Colombo Jogja,"Rp 2,9 M","jl kaliurang km 6,5, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",106 m²,213 m²,5 tidur,3 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686137667-835,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-belakang-jogja-city-mall-oleh-opink-noviani-21616129,Dijual!Rumah Cantik Belakang Jogja City Mall,"Rp 1,6 M","Jl Jambon Residence, Tegalrejo, Yogyakarta, DI Yogyakarta Jelajahi di Peta",95 m²,124 m²,3 tidur,1 mandi,2200 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686137670-836,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-cluster-perumahan-strategis-dekat-kampus-ugm-oleh-novika-dina-21751179,Rumah Cluster Perumahan Strategis Dekat Kampus UGM,"Rp 3,3 M","Jalan Kaliurang km 8, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",214 m²,171 m²,3 tidur,4 mandi,2200 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137674-837,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-kost-exclusive-full-furnished-proses-bangun-area-mahasiswa-uii-oleh-novika-dina-21692927,Kost exclusive Full Furnished Proses bangun Area Mahasiswa Uii,"Rp 2,2 M","Jalan Kaliurang km 13, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",204 m²,204 m²,10 tidur,10 mandi,1300 Watt,Lengkap,1,SHM - Sertifikat Hak Milik
1686137677-838,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-kost-eksklusif-lingkungan-mahasiswa-area-kampus-seturan-oleh-novika-dina-21455504,Kost Eksklusif Lingkungan Mahasiswa Area Kampus Seturan,"Rp 1,5 M","Jalan Seturan, Depok, Sleman, DI Yogyakarta Jelajahi di Peta",220 m²,110 m²,10 tidur,10 mandi,1300 Watt,Lengkap,1,SHM - Sertifikat Hak Milik
1686137680-839,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-minmalis-murah-siap-huni-ccok-klrga-atau-mhswa-dkt-umy-dan-umby-oleh-faza-farhana-saifananda-21751186,Rumah Minmalis Murah Siap Huni Ccok Klrga Atau Mhswa Dkt Umy Dan Umby,Rp 525 jt,"jogjakarta, Sedayu, Bantul, DI Yogyakarta Jelajahi di Peta",60 m²,88 m²,3 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137683-840,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/59,,https://www.rumah.com/listing-properti/dijual-rumah-baru-cantik-minimalis-lokasi-strategis-kampus-oleh-novika-dina-21691224,Rumah Baru Cantik Minimalis Lokasi Strategis Kampus,"Rp 1,65 M","Jalan Gejayan, Depok, Sleman, DI Yogyakarta Jelajahi di Peta",82 m²,166 m²,3 tidur,2 mandi,2200 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137691-841,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-rumah-baru-siap-huni-harga-murah-meriah-lokasi-strategis-oleh-novika-dina-21544142,Rumah Baru Siap Huni Harga Murah Meriah Lokasi Strategis,"Rp 1,5 M","Jalan Kaliurang km 9, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",130 m²,158 m²,5 tidur,3 mandi,2200 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137695-842,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-rumah-dalam-perumahan-dekat-kampus-uii-pusat-oleh-novika-dina-20966983,Rumah Dalam Perumahan Dekat Kampus UII Pusat,Rp 689 jt,"Jalan Kaliurang, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",45 m²,93 m²,2 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137698-843,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-shm-imb-ready-rumah-modern-dalam-perumahan-jakal-km-6-5-oleh-zain-21751289,"SHM-IMB Ready, Rumah Modern Dalam Perumahan Jakal KM 6,5","Rp 2,8 M","Kraton, Malioboro, Kotabaru, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",106 m²,213 m²,5 tidur,3 mandi,0 Watt,Sebagian,2,SHM - Sertifikat Hak Milik
1686137702-844,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-rumah-mewah-siap-huni-harga-murah-di-janti-oleh-anto-21751494,RUMAH MEWAH SIAP HUNI HARGA MURAH DI JANTI,"Rp 1,1 M","Jalan Janti, Banguntapan, Bantul, DI Yogyakarta Jelajahi di Peta",85 m²,96 m²,3 tidur,2 mandi,2200 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137706-845,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-murah-di-perumahan-bangunjiwo-bantul-oleh-arif-setiawan-21700103,"Rumah Dijual Murah di Perumahan Bangunjiwo, Bantul",Rp 450 jt,"Gendeng, Bangunjiwo, Kasihan, Bantul, Yogyakarta, Kraton, Yogyakarta, DI Yogyakarta Jelajahi di Peta",36 m²,79 m²,2 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686137710-846,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-rumah-cantik-murah-di-dekat-jl-bias-sleman-oleh-arif-setiawan-21695477,"Rumah Cantik Murah di Dekat Jl Bias, Sleman","Rp 1,4 M","Jl. Tiara Persada, Ngaglik, Sleman, Yogyakarta, Kraton, Yogyakarta, DI Yogyakarta Jelajahi di Peta",144 m²,89 m²,4 tidur,4 mandi,4400 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686137714-847,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-sendangadi-mlati-sleman-yogyakarta-oleh-ahmad-rif-an-21751534,Sendangadi Mlati Sleman Yogyakarta,"Rp 1,59 M","Raya Kebon Agung Barat Jalan Magelang Sleman, Mlati, Sleman, DI Yogyakarta Jelajahi di Peta",112 m²,110 m²,3 tidur,2 mandi,2200 Watt,Sebagian,2,SHGB - Hak Guna Bangunan
1686137718-848,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-dijual-kos-eksklusif-dan-rumah-induk-di-condngcatur-oleh-arif-setiawan-21694642,Dijual Kos Eksklusif dan Rumah Induk di Condngcatur,"Rp 13,5 M","Gandok, Condongcatur, Depok, Sleman, Yogyakarta, Umbulharjo, Yogyakarta, DI Yogyakarta Jelajahi di Peta",970 m²,"1,000 m²",10 tidur,10 mandi,5500 Watt,Lengkap,3,SHM - Sertifikat Hak Milik
1686137721-849,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/58,,https://www.rumah.com/listing-properti/dijual-400-jutaan-dekat-terminal-giwangan-sangat-murah-oleh-ara-citra-21751542,400 JUTAAN DEKAT TERMINAL GIWANGAN SANGAT MURAH,"Rp 390,99 jt","jl Pleret Banguntapan Bantul, Banguntapan, Bantul, DI Yogyakarta Jelajahi di Peta",55 m²,78 m²,2 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
